Pairing ID,	Main Layover, Sequence,	Pairing Length(in days), No.of Legs, Max LNj, Min LNj, Pairing Length(in duty hours), Pairing Length(in block hours), Start time ,End time, Rest End time
192,RUH,-,4,2,1,1,37,11,4/27/2017 11:25:0,4/29/2017 1:15:0,4/30/2017 0:10:0,
193,-,-,2,2,2,2,10,7,4/4/2017 1:5:0,4/4/2017 12:0:0,4/5/2017 0:0:0,
194,NRT,-,6,2,1,1,47,19,4/8/2017 12:55:0,4/10/2017 12:45:0,4/13/2017 0:30:0,
195,KWI,-,4,2,1,1,37,11,4/13/2017 11:25:0,4/15/2017 1:15:0,4/16/2017 0:10:0,
196,-,-,3,2,2,2,5,3,4/16/2017 17:50:0,4/16/2017 23:20:0,4/18/2017 0:10:0,
197,-,-,4,2,2,2,13,11,4/18/2017 11:45:0,4/19/2017 1:0:0,4/21/2017 0:30:0,
198,-,-,3,2,2,2,5,3,4/23/2017 17:50:0,4/23/2017 23:20:0,4/25/2017 0:10:0,
199,-,-,4,2,2,2,12,10,4/25/2017 11:55:0,4/26/2017 0:0:0,4/28/2017 0:30:0,
200,-,-,2,2,2,2,12,10,4/28/2017 0:30:0,4/28/2017 12:30:0,4/29/2017 0:30:0,
201,-,-,4,2,2,2,13,11,4/6/2017 11:35:0,4/7/2017 0:50:0,4/9/2017 0:30:0,
202,-,-,2,2,2,2,10,8,4/9/2017 0:35:0,4/9/2017 11:20:0,4/10/2017 12:29:0,
203,NRT,-,7,2,1,1,71,19,4/12/2017 12:55:0,4/15/2017 12:45:0,4/18/2017 0:30:0,
204,BKK,-,4,4,3,1,41,10,4/18/2017 12:5:0,4/20/2017 6:0:0,4/21/2017 12:0:0,
205,-,-,3,2,2,2,5,3,4/24/2017 17:50:0,4/24/2017 23:20:0,4/26/2017 0:10:0,
206,JED,-,4,2,1,1,40,13,4/26/2017 7:10:0,4/27/2017 23:15:0,4/29/2017 0:10:0,
207,-,-,3,2,2,2,10,8,4/5/2017 13:40:0,4/6/2017 0:25:0,4/7/2017 12:59:0,
208,BKK,-,5,4,2,1,65,14,4/8/2017 0:30:0,4/10/2017 17:55:0,4/11/2017 23:55:0,
209,-,-,3,2,2,2,5,3,4/15/2017 17:50:0,4/15/2017 23:20:0,4/17/2017 0:10:0,
210,DOH,-,4,2,1,1,36,10,4/18/2017 12:0:0,4/20/2017 0:50:0,4/21/2017 0:10:0,
211,-,-,2,2,2,2,11,9,4/21/2017 0:40:0,4/21/2017 12:30:0,4/22/2017 0:30:0,
212,PVG,-,5,2,1,1,65,15,4/24/2017 6:40:0,4/27/2017 0:35:0,4/28/2017 9:30:0,
213,-,-,3,2,2,2,11,9,4/28/2017 12:30:0,4/28/2017 23:55:0,4/30/2017 17:30:0,
214,-,-,2,2,2,2,10,7,4/3/2017 1:5:0,4/3/2017 12:0:0,4/4/2017 0:0:0,
215,-,-,2,2,2,2,11,8,4/6/2017 0:35:0,4/6/2017 11:40:0,4/7/2017 12:29:0,
216,-,-,3,2,2,2,11,9,4/7/2017 12:30:0,4/7/2017 23:55:0,4/9/2017 17:30:0,
217,-,-,2,2,2,2,10,8,4/10/2017 0:40:0,4/10/2017 11:20:0,4/11/2017 12:29:0,
218,-,-,3,2,2,2,7,5,4/13/2017 16:55:0,4/14/2017 0:35:0,4/15/2017 0:10:0,
219,-,-,2,2,2,2,10,8,4/15/2017 0:35:0,4/15/2017 11:20:0,4/16/2017 12:29:0,
220,BKK,-,4,4,3,1,41,10,4/19/2017 12:5:0,4/21/2017 6:0:0,4/22/2017 12:0:0,
221,KUL,-,4,4,3,1,40,11,4/22/2017 12:0:0,4/24/2017 4:45:0,4/25/2017 10:45:0,
222,KUL,-,4,4,3,1,40,11,4/27/2017 12:0:0,4/29/2017 4:45:0,4/30/2017 10:45:0,
223,-,-,2,2,2,2,10,2,4/3/2017 1:10:0,4/3/2017 12:5:0,4/4/2017 0:5:0,
224,DOH,-,4,2,1,1,37,10,4/6/2017 11:55:0,4/8/2017 0:55:0,4/9/2017 0:10:0,
225,BKK,-,4,4,3,1,41,10,4/11/2017 12:5:0,4/13/2017 6:0:0,4/14/2017 12:0:0,
226,-,-,4,2,2,2,12,10,4/16/2017 11:50:0,4/16/2017 23:55:0,4/19/2017 0:30:0,
227,RUH,-,4,2,1,1,37,11,4/21/2017 11:25:0,4/23/2017 1:15:0,4/24/2017 0:10:0,
228,-,-,3,2,2,2,5,3,4/25/2017 17:50:0,4/25/2017 23:20:0,4/27/2017 0:10:0,
229,SIN,-,4,4,3,1,42,11,4/27/2017 11:50:0,4/29/2017 6:5:0,4/30/2017 12:5:0,
230,-,-,1,2,2,2,10,8,4/6/2017 19:25:0,4/7/2017 6:5:0,4/7/2017 18:5:0,
